150	100	0	0
0	1	59	45
1	1	21	30
2	3	62	44
3	3	38	27
4	3	56	31
5	4	56	39
6	5	59	36
7	5	59	48
8	6	62	38
9	7	61	32
10	8	63	38
11	12	32	25
12	12	40	40
13	13	40	42
14	14	72	35
15	14	49	32
16	15	71	37
17	16	65	47
18	20	55	27
19	21	79	37
20	24	64	27
21	24	49	47
22	25	60	47
23	29	83	28
24	31	63	30
25	32	80	43
26	35	79	30
27	37	83	39
28	37	71	27
29	37	75	33
30	38	80	28
31	39	73	29
32	42	82	26
33	43	100	32
34	44	73	40
35	46	93	45
36	46	89	30
37	47	87	48
38	47	78	29
39	48	95	29
40	50	95	36
41	50	81	34
42	52	99	40
43	53	108	26
44	54	110	39
45	56	111	25
46	60	80	30
47	60	109	35
48	60	112	44
49	61	89	33
50	66	92	30
51	67	125	40
52	67	119	35
53	68	96	43
54	70	119	37
55	71	94	45
56	72	95	25
57	72	106	44
58	75	132	33
59	75	101	37
60	76	128	42
61	77	107	45
62	77	97	47
63	78	124	25
64	79	103	44
65	80	125	39
66	83	135	33
67	85	132	32
68	88	120	41
69	89	137	28
70	90	136	33
71	90	146	49
72	92	148	33
73	93	125	46
74	93	126	39
75	93	143	40
76	93	148	32
77	94	141	28
78	94	126	40
79	94	115	44
80	95	121	36
81	96	154	35
82	98	135	30
83	98	149	30
84	102	139	31
85	102	150	43
86	103	129	46
87	103	148	29
88	104	126	47
89	105	145	33
90	107	160	27
91	108	128	31
92	112	157	32
93	112	134	43
94	112	169	27
95	115	168	33
96	115	167	46
97	117	167	38
98	119	166	34
99	121	172	31
100	121	176	40
101	122	162	41
102	123	152	25
103	125	145	28
104	125	160	49
105	127	169	28
106	128	165	37
107	131	175	39
108	132	155	28
109	132	169	25
110	133	191	48
111	136	165	40
112	137	183	41
113	138	164	42
114	138	170	33
115	142	164	43
116	142	171	41
117	143	180	48
118	144	192	25
119	145	201	35
120	146	168	48
121	146	180	48
122	146	176	43
123	147	203	29
124	149	174	49
125	150	199	42
126	151	209	32
127	151	173	44
128	152	196	32
129	152	194	44
130	153	175	47
131	153	206	25
132	154	203	27
133	160	212	30
134	161	203	33
135	163	219	26
136	166	208	44
137	167	212	27
138	168	206	29
139	170	198	44
140	170	229	29
141	171	201	28
142	171	199	43
143	172	229	29
144	173	206	48
145	174	229	30
146	176	209	32
147	177	215	49
148	177	217	36
149	180	221	31
