100	100	0	0
0	1	15	31
1	1	11	50
2	1	27	45
3	2	14	33
4	3	30	53
5	4	15	55
6	5	22	35
7	7	28	50
8	9	30	74
9	9	32	49
10	10	32	59
11	13	31	45
12	14	26	26
13	15	40	39
14	15	29	65
15	17	40	42
16	18	45	29
17	18	29	50
18	20	49	43
19	22	32	61
20	22	48	51
21	22	48	65
22	26	36	65
23	26	46	34
24	27	55	31
25	27	43	66
26	28	54	56
27	29	51	25
28	30	55	69
29	31	56	50
30	34	44	52
31	35	50	55
32	36	59	63
33	37	56	67
34	37	66	44
35	38	62	29
36	39	60	61
37	39	54	41
38	39	54	66
39	41	68	43
40	43	61	66
41	43	69	33
42	43	54	31
43	43	70	68
44	45	55	27
45	45	72	59
46	45	72	61
47	46	66	46
48	47	59	43
49	47	60	73
50	51	75	44
51	51	77	47
52	52	62	32
53	54	79	41
54	55	84	40
55	55	71	69
56	55	77	37
57	57	73	40
58	62	76	45
59	62	87	60
60	62	86	32
61	63	78	68
62	64	85	29
63	70	88	48
64	70	81	26
65	72	82	62
66	72	91	60
67	72	87	35
68	73	89	58
69	73	88	52
70	74	87	67
71	74	91	52
72	74	97	70
73	74	88	45
74	75	98	42
75	75	93	49
76	75	93	37
77	77	90	71
78	80	93	48
79	80	102	37
80	81	96	46
81	81	102	60
82	82	110	45
83	82	106	34
84	83	106	67
85	85	114	54
86	86	111	43
87	87	109	36
88	88	116	35
89	94	105	51
90	94	109	46
91	94	123	62
92	94	119	28
93	95	114	67
94	95	118	58
95	95	113	31
96	97	114	67
97	98	112	34
98	98	115	55
99	100	110	52
