150	100	0	0
0	1	18	36
1	1	17	38
2	1	30	26
3	2	26	41
4	3	21	47
5	6	17	27
6	7	31	35
7	8	30	32
8	8	19	50
9	9	21	40
10	10	39	31
11	11	30	28
12	11	21	38
13	11	22	45
14	13	25	45
15	13	40	45
16	15	34	30
17	19	40	38
18	19	38	46
19	21	32	49
20	21	48	46
21	22	37	47
22	23	38	30
23	25	46	40
24	25	44	36
25	26	43	45
26	27	50	36
27	28	56	35
28	28	50	37
29	29	44	50
30	30	44	28
31	31	49	46
32	32	42	40
33	32	59	50
34	32	54	46
35	34	48	26
36	35	55	36
37	35	46	43
38	37	64	33
39	41	59	35
40	42	62	38
41	42	63	47
42	42	65	44
43	43	60	26
44	44	55	31
45	46	65	34
46	48	58	46
47	49	73	35
48	50	60	44
49	50	79	39
50	53	77	36
51	55	83	47
52	55	75	48
53	55	69	45
54	56	71	42
55	58	83	43
56	58	87	47
57	59	76	26
58	59	84	33
59	63	75	25
60	63	84	45
61	63	81	37
62	64	88	34
63	66	81	30
64	68	79	38
65	68	87	32
66	70	92	26
67	70	82	48
68	72	91	26
69	74	97	35
70	74	100	28
71	76	92	36
72	77	95	47
73	77	104	33
74	79	103	28
75	79	93	39
76	80	105	46
77	81	96	33
78	82	97	26
79	83	93	28
80	84	101	26
81	85	103	43
82	85	101	36
83	87	102	41
84	88	102	42
85	90	118	39
86	90	117	40
87	91	108	46
88	91	110	41
89	91	112	46
90	91	110	36
91	95	110	28
92	95	124	26
93	96	109	42
94	96	123	32
95	96	106	41
96	97	113	41
97	97	121	38
98	97	119	42
99	100	113	37
100	103	132	37
101	103	123	37
102	104	119	48
103	104	125	34
104	105	133	27
105	105	132	31
106	108	127	42
107	110	128	45
108	111	127	49
109	112	123	30
110	113	138	44
111	113	125	39
112	114	131	35
113	116	133	37
114	116	143	37
115	118	128	41
116	119	145	43
117	119	134	32
118	120	135	27
119	120	139	45
120	122	146	34
121	124	138	44
122	126	140	29
123	126	155	27
124	126	147	47
125	127	143	46
126	129	158	49
127	131	158	46
128	132	145	25
129	132	142	38
130	134	158	49
131	134	161	37
132	135	147	46
133	135	145	26
134	136	157	49
135	137	159	48
136	138	158	39
137	138	148	35
138	139	162	33
139	140	168	43
140	141	168	25
141	141	153	34
142	141	158	48
143	143	157	38
144	144	165	36
145	146	168	37
146	148	164	32
147	149	174	48
148	150	175	49
149	150	175	37
