100	100	0	0
0	1	43	42
1	1	23	26
2	3	50	26
3	7	27	49
4	9	52	26
5	13	63	68
6	13	47	58
7	13	66	65
8	16	68	34
9	17	41	47
10	19	41	47
11	20	48	36
12	21	51	30
13	22	61	54
14	22	72	53
15	22	81	62
16	23	57	63
17	25	60	51
18	25	83	42
19	25	63	41
20	25	64	70
21	26	52	58
22	27	49	41
23	27	66	67
24	29	55	60
25	33	84	70
26	33	63	55
27	34	61	40
28	35	67	50
29	35	90	68
30	36	59	25
31	38	83	54
32	38	64	67
33	40	63	32
34	40	90	41
35	41	82	35
36	41	89	50
37	41	65	65
38	43	78	26
39	43	86	73
40	44	88	42
41	45	75	54
42	46	96	39
43	47	106	31
44	48	82	25
45	49	103	34
46	49	72	38
47	49	104	31
48	50	100	61
49	50	86	65
50	53	97	51
51	54	101	70
52	57	111	29
53	57	106	29
54	58	112	54
55	59	98	63
56	59	82	67
57	60	96	66
58	61	91	39
59	62	106	59
60	64	118	31
61	65	113	57
62	67	113	38
63	68	119	72
64	70	106	45
65	70	94	54
66	70	122	60
67	71	104	39
68	71	119	31
69	71	116	68
70	73	93	40
71	74	104	67
72	74	103	52
73	75	128	32
74	76	116	44
75	79	114	28
76	79	124	32
77	79	105	56
78	79	122	27
79	80	122	30
80	80	117	35
81	83	113	52
82	84	131	52
83	84	143	45
84	85	141	44
85	85	131	40
86	85	128	73
87	86	122	66
88	86	127	63
89	87	122	33
90	88	112	25
91	90	148	33
92	95	145	46
93	97	139	31
94	98	154	64
95	98	124	61
96	98	131	29
97	99	138	28
98	100	130	26
99	100	154	48
